=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.04.12 21:51:42 =~=~=~=~=~=~=~=~=~=~=~=
=J
SB)G4TjI$-U&røXL,1J=P^SI}C$JKÒKVSCa-JK,J
SB)G4TjI$-U&røXL,1J=P^SI}C$JKÒKVSCa-JK,









Found Edge
-47
-47
4294966568,-10.00,181.07
4294966569,-10.00,181.07
4294966571,-10.00,181.07
4294966573,298.28,181.07
4294966575,298.28,181.07
4294966576,298.28,181.07
4294966578,296.52,181.07
4294966580,296.52,181.07
4294966582,294.76,181.07
4294966584,294.76,181.07
4294966587,293.35,181.07
4294966589,293.35,181.07
4294966592,291.24,181.07
4294966595,291.24,181.07
4294966597,289.83,181.07
4294966600,289.83,181.07
4294966603,287.72,181.07
4294966605,287.72,181.07
4294966608,285.96,181.07
4294966610,285.96,181.07
4294966613,284.20,181.07
4294966615,284.20,181.07
4294966618,282.44,181.07
4294966620,282.44,181.07
4294966623,280.68,181.07
4294966625,280.68,181.07
4294966628,278.57,181.07
4294966630,278.57,181.07
4294966633,276.81,181.07
4294966635,276.81,181.07
4294966638,274.70,181.07
4294966640,274.70,181.07
4294966644,272.94,181.07
4294966646,270.83,181.07
4294966649,270.83,181.07
4294966651,268.72,181.07
4294966654,268.72,181.07
4294966656,266.96,181.07
4294966659,266.96,181.07
4294966661,264.85,181.07
4294966664,264.85,181.07
4294966666,263.09,181.07
4294966669,263.09,181.07
4294966671,262.03,181.07
4294966674,262.03,181.07
4294966676,262.03,181.07
4294966679,262.03,181.07
4294966681,262.03,181.07
4294966684,262.03,181.07
4294966687,262.03,181.07
4294966690,262.03,181.07
4294966692,1.97,181.07
4294966695,1.97,181.07
4294966697,262.03,181.07
4294966699,262.03,181.07
4294966702,262.03,181.07
4294966704,262.03,181.07
4294966707,262.03,181.07
4294966709,262.03,181.07
4294966711,262.03,181.07
4294966714,262.03,181.07
4294966716,262.03,181.07
4294966719,262.03,181.07
4294966721,259.92,181.07
4294966724,259.92,181.07
4294966726,257.81,181.07
4294966730,257.81,181.07
4294966732,255.70,181.07
4294966735,255.70,181.07
4294966738,253.58,181.07
4294966740,253.58,181.07
4294966743,251.47,181.07
4294966745,251.47,181.07
4294966748,249.36,181.07
4294966750,249.36,181.07
4294966753,247.25,181.07
4294966755,247.25,181.07
4294966758,245.14,181.07
4294966760,245.14,181.07
4294966763,243.03,181.07
4294966765,243.03,181.07
4294966768,240.91,181.07
4294966771,240.91,181.07
4294966774,239.16,181.07
4294966776,239.16,181.07
4294966779,237.04,181.07
4294966781,237.04,181.07
4294966784,235.28,181.07
4294966786,235.28,181.07
4294966789,233.17,181.07
4294966791,233.17,181.07
4294966794,231.06,181.07
4294966796,229.30,181.07
4294966799,229.30,181.07
4294966801,227.54,181.07
4294966804,227.54,181.07
4294966806,225.43,181.07
4294966809,225.43,181.07
4294966811,223.67,181.07
4294966815,223.67,181.07
4294966817,221.91,181.07
4294966820,221.91,181.07
4294966822,220.50,181.07
4294966825,220.50,181.07
4294966827,218.74,181.07
4294966830,218.74,181.07
4294966832,216.98,181.07
4294966835,216.98,181.07
4294966837,215.58,181.07
4294966840,215.58,181.07
4294966842,214.17,181.07
4294966845,214.17,181.07
4294966847,214.87,180.86
4294966850,214.87,180.86
4294966852,213.47,180.64
4294966856,213.47,180.42
4294966858,211.71,179.98
4294966861,211.71,179.76
4294966863,210.30,179.32
4294966866,210.30,179.10
4294966868,208.54,178.66
4294966871,208.54,178.01
4294966873,207.13,177.57
4294966876,207.13,176.91
4294966878,205.72,176.48
4294966881,205.72,175.82
4294966883,204.32,175.38
4294966886,204.32,174.50
4294966888,202.91,174.07
4294966891,202.91,173.19
4294966894,201.50,172.53
4294966896,200.09,172.10
4294966900,200.09,171.44
4294966902,199.04,171.00
4294966904,199.04,170.34
4294966907,197.63,169.69
4294966909,197.63,169.03
